Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
BANK1,B-cell scaffold protein with ankyrin repeats,Chapter IX Diseases of the circulatory system,I9_AF,Inverse variance weighted,3,1.15 [0.92-1.43],0.222187965472545,cis
BANK1,B-cell scaffold protein with ankyrin repeats,Chapter IX Diseases of the circulatory system,I9_AF,Inverse variance weighted,4,1.15 [0.96-1.37],0.132246392695543,trans
