Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
QDPR,Dihydropteridine reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Inverse variance weighted,8,1.06 [0.98-1.14],0.178843507791797,cis
QDPR,Dihydropteridine reductase,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.09 [0.94-1.27],0.263811074459795,cis
QDPR,Dihydropteridine reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Inverse variance weighted,8,1.03 [0.97-1.11],0.34638509820869,cis
QDPR,Dihydropteridine reductase,Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,8,0.89 [0.58-1.35],0.571331071049675,cis
QDPR,Dihydropteridine reductase,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Inverse variance weighted,8,1.01 [0.95-1.08],0.742265636768718,cis
QDPR,Dihydropteridine reductase,Chapter IX Diseases of the circulatory system,I9_HYPTENSESS,Inverse variance weighted,8,1.01 [0.94-1.08],0.76089909818532,cis
QDPR,Dihydropteridine reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,2,1.03 [0.82-1.29],0.786108615081246,cis
QDPR,Dihydropteridine reductase,Chapter XI Diseases of the digestive system,NAFLD,Wald ratio,1,0.13 [0.01-3.18],0.211977113139698,trans
QDPR,Dihydropteridine reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Wald ratio,1,1.66 [0.71-3.87],0.24049213616043,trans
QDPR,Dihydropteridine reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Wald ratio,1,1.54 [0.74-3.17],0.245315626894528,trans
QDPR,Dihydropteridine reductase,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Wald ratio,1,0.84 [0.46-1.54],0.567356835281881,trans
QDPR,Dihydropteridine reductase,Chapter XI Diseases of the digestive system,K11_LIVER,Wald ratio,1,1.18 [0.27-5.08],0.828202355385664,trans
QDPR,Dihydropteridine reductase,Chapter IX Diseases of the circulatory system,I9_HYPTENSESS,Wald ratio,1,0.97 [0.51-1.86],0.924428511382981,trans
