Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
DPEP2,Dipeptidase 2,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,6,0.91 [0.86-0.97],0.00364901773211857,cis
DPEP2,Dipeptidase 2,Chapter X Diseases of the respiratory system,J10_PNEUMONAS,Inverse variance weighted,4,1.1 [0.98-1.23],0.118685636571589,cis
DPEP2,Dipeptidase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERBLOOD,Inverse variance weighted,6,1.17 [0.91-1.51],0.230346548388601,cis
DPEP2,Dipeptidase 2,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,6,0.97 [0.86-1.09],0.607606320814153,cis
DPEP2,Dipeptidase 2,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,6,1 [0.9-1.1],0.939972882818871,cis
DPEP2,Dipeptidase 2,Chapter II Neoplasms,C3_CLL_EXALLC,Inverse variance weighted,6,0.99 [0.58-1.68],0.958389035887646,cis
DPEP2,Dipeptidase 2,Chapter II Neoplasms,CD2_LYMPHOID_LEUKAEMIA_EXALLC,Inverse variance weighted,6,1 [0.63-1.6],0.990107153375093,cis
DPEP2,Dipeptidase 2,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,6,0.94 [0.87-1],0.0530850860047114,trans
DPEP2,Dipeptidase 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERBLOOD,Inverse variance weighted,6,0.79 [0.56-1.1],0.164938899533259,trans
DPEP2,Dipeptidase 2,Chapter II Neoplasms,C3_CLL_EXALLC,Inverse variance weighted,6,1.3 [0.71-2.38],0.400674963829844,trans
DPEP2,Dipeptidase 2,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,6,0.98 [0.9-1.07],0.69844749194121,trans
DPEP2,Dipeptidase 2,Chapter II Neoplasms,CD2_LYMPHOID_LEUKAEMIA_EXALLC,Inverse variance weighted,6,1.08 [0.73-1.59],0.706546088927493,trans
DPEP2,Dipeptidase 2,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,6,1.03 [0.88-1.21],0.729295702452037,trans
