Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,2,1.07 [0.97-1.17],0.165460305863468,cis
VEGFC,Vascular endothelial growth factor C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_THROMBOCYTOPENIANAS,Inverse variance weighted,2,1.32 [0.83-2.09],0.238697769937946,cis
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_ANGINA,Inverse variance weighted,2,1.04 [0.93-1.18],0.484837229779704,cis
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,2,1.04 [0.93-1.15],0.485939677402394,cis
VEGFC,Vascular endothelial growth factor C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_PURPURA_AND3_OTHER_HAEMORRHAGIC,Inverse variance weighted,2,0.98 [0.59-1.65],0.95247598690454,cis
VEGFC,Vascular endothelial growth factor C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_THROMBOCYTOPENIANAS,Inverse variance weighted,6,0.7 [0.42-1.15],0.157031997339739,trans
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,6,0.89 [0.76-1.05],0.163354617748995,trans
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,6,0.93 [0.78-1.09],0.362841686938338,trans
VEGFC,Vascular endothelial growth factor C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_PURPURA_AND3_OTHER_HAEMORRHAGIC,Inverse variance weighted,6,0.95 [0.67-1.34],0.760666468489031,trans
VEGFC,Vascular endothelial growth factor C,Chapter IX Diseases of the circulatory system,I9_ANGINA,Inverse variance weighted,6,0.97 [0.78-1.22],0.811768186668079,trans
