Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
PDGFRB,Platelet-derived growth factor receptor beta,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,41,1.06 [0.98-1.15],0.177916145677492,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,41,1.05 [0.97-1.13],0.221329554071555,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,41,1.03 [0.97-1.09],0.340357241146857,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,41,1.01 [0.99-1.02],0.438263271646412,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,41,1.01 [0.98-1.04],0.49305908024654,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Inverse variance weighted,21,1 [0.9-1.1],0.935441858674866,cis
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Inverse variance weighted,7,0.86 [0.67-1.11],0.242395588024526,trans
PDGFRB,Platelet-derived growth factor receptor beta,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,7,0.7 [0.36-1.34],0.277797742549004,trans
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,7,0.88 [0.48-1.63],0.684480366247077,trans
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Inverse variance weighted,7,1.01 [0.86-1.19],0.909133933854076,trans
PDGFRB,Platelet-derived growth factor receptor beta,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,7,1.03 [0.63-1.67],0.917174871006283,trans
