Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Wald ratio,1,1.36 [0.8-2.3],0.251447801519702,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Wald ratio,1,0.84 [0.56-1.25],0.390083000619089,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_NOS,Wald ratio,1,1.24 [0.64-2.41],0.522177336154316,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Wald ratio,1,1.16 [0.68-1.96],0.58493717107695,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Wald ratio,1,1.1 [0.75-1.61],0.637305856432922,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter X Diseases of the respiratory system,J10_PLEURA,Wald ratio,1,1.01 [0.73-1.41],0.935164297199141,cis
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Wald ratio,1,1.72 [0.97-3.05],0.0642416272427325,trans
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter X Diseases of the respiratory system,J10_PLEURA,Wald ratio,1,1.33 [0.92-1.93],0.1241012111753,trans
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Wald ratio,1,1.4 [0.78-2.49],0.26106787627741,trans
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Wald ratio,1,0.83 [0.54-1.29],0.405017736857861,trans
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_NOS,Wald ratio,1,1.32 [0.63-2.75],0.466990261966813,trans
PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Wald ratio,1,0.96 [0.63-1.46],0.850325770917238,trans
