Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
ERBB3,Receptor tyrosine-protein kinase erbB-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,3,1.29 [1.06-1.58],0.0120392394751276,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Inverse variance weighted,7,0.96 [0.9-1.02],0.159385036260734,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,F5_ALCOHOLAC,Inverse variance weighted,7,1.11 [0.95-1.29],0.186393485924231,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,7,0.97 [0.91-1.03],0.261481480079514,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,7,1.06 [0.91-1.25],0.442232772461122,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,7,1.03 [0.91-1.16],0.647701631585575,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Inverse variance weighted,3,0.95 [0.74-1.22],0.669292305139898,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Inverse variance weighted,7,1.01 [0.94-1.09],0.781470430165734,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,7,1.01 [0.94-1.07],0.849232880822114,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter XIV Diseases of the genitourinary system,N14_GENITOURINARY,Inverse variance weighted,3,1 [0.92-1.08],0.908829724176368,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,7,1 [0.9-1.12],0.927599055340307,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_HYPTENSESS,Inverse variance weighted,7,1 [0.93-1.07],0.969843288149926,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,7,1 [0.85-1.18],0.978578072940583,cis
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,11,1.38 [1.05-1.82],0.0190666799968876,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,F5_ALCOHOLAC,Inverse variance weighted,11,0.81 [0.68-0.97],0.0250125580624174,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,11,1.33 [0.99-1.79],0.0569055523428531,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Inverse variance weighted,11,1.06 [0.97-1.17],0.191873905957689,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,11,0.94 [0.81-1.08],0.351038612446722,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,11,0.93 [0.76-1.14],0.485827041847371,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,11,1.05 [0.92-1.2],0.493757603879417,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_HYPTENSESS,Inverse variance weighted,11,0.99 [0.89-1.1],0.868628497357478,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Inverse variance weighted,11,0.99 [0.9-1.1],0.882230465285182,trans
ERBB3,Receptor tyrosine-protein kinase erbB-3,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,11,1.01 [0.86-1.18],0.886753972127573,trans
