Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
EVI5,Ecotropic viral integration site 5 protein homolog,"Chapter IV Endocrine, nutritional and metabolic diseases",Other and/or unspecified nontoxic goitre,19229,13,2.74 [1.76-4.28],8.68455919023486e-06
EVI5,Ecotropic viral integration site 5 protein homolog,Chapter XI Diseases of the digestive system,Coeliac disease,18579,77,1.60 [1.28-1.99],3.542082018951628e-05
EVI5,Ecotropic viral integration site 5 protein homolog,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18592,90,1.52 [1.23-1.87],8.925795714518497e-05
