,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.651 [0.641 - 0.660],0.608 [0.603 - 0.613],0.608 [0.592 - 0.623],0.608 [0.603 - 0.613],0.129 [0.124 - 0.135],0.216 [0.199 - 0.232],0.213 [0.205 - 0.221]
Demographic,0.635 [0.625 - 0.644],0.596 [0.592 - 0.601],0.596 [0.581 - 0.613],0.596 [0.592 - 0.601],0.124 [0.119 - 0.129],0.193 [0.176 - 0.210],0.205 [0.198 - 0.213]
Protein+Demographic,0.661 [0.651 - 0.670],0.617 [0.612 - 0.621],0.616 [0.601 - 0.631],0.617 [0.612 - 0.622],0.133 [0.128 - 0.139],0.233 [0.217 - 0.248],0.219 [0.212 - 0.228]
