,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.766 [0.761 - 0.770],0.692 [0.688 - 0.696],0.692 [0.684 - 0.700],0.692 [0.688 - 0.697],0.464 [0.457 - 0.471],0.384 [0.375 - 0.393],0.556 [0.549 - 0.562]
Demographic,0.764 [0.759 - 0.768],0.694 [0.690 - 0.698],0.694 [0.687 - 0.702],0.694 [0.690 - 0.699],0.466 [0.459 - 0.474],0.389 [0.380 - 0.398],0.558 [0.552 - 0.565]
Protein+Demographic,0.801 [0.796 - 0.805],0.723 [0.720 - 0.727],0.724 [0.716 - 0.731],0.723 [0.719 - 0.728],0.502 [0.494 - 0.509],0.447 [0.438 - 0.456],0.593 [0.586 - 0.599]
