,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.627 [0.583 - 0.675],0.584 [0.579 - 0.588],0.583 [0.507 - 0.665],0.584 [0.579 - 0.588],0.004 [0.003 - 0.005],0.167 [0.091 - 0.248],0.008 [0.007 - 0.010]
Demographic,0.643 [0.603 - 0.684],0.595 [0.591 - 0.599],0.597 [0.517 - 0.675],0.595 [0.591 - 0.599],0.004 [0.004 - 0.005],0.192 [0.111 - 0.270],0.009 [0.007 - 0.010]
Protein+Demographic,0.662 [0.622 - 0.705],0.617 [0.613 - 0.622],0.620 [0.547 - 0.696],0.617 [0.613 - 0.622],0.005 [0.004 - 0.006],0.238 [0.164 - 0.313],0.010 [0.008 - 0.012]
