,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.791 [0.776 - 0.806],0.723 [0.719 - 0.727],0.722 [0.691 - 0.753],0.723 [0.719 - 0.727],0.037 [0.034 - 0.040],0.445 [0.413 - 0.476],0.070 [0.065 - 0.075]
Demographic,0.704 [0.685 - 0.725],0.650 [0.647 - 0.654],0.651 [0.616 - 0.688],0.650 [0.646 - 0.654],0.026 [0.024 - 0.029],0.302 [0.265 - 0.338],0.051 [0.047 - 0.055]
Protein+Demographic,0.793 [0.778 - 0.809],0.725 [0.721 - 0.729],0.725 [0.695 - 0.755],0.725 [0.721 - 0.729],0.037 [0.034 - 0.040],0.450 [0.420 - 0.480],0.071 [0.066 - 0.076]
