,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.499 [0.446 - 0.555],0.486 [0.482 - 0.490],0.482 [0.400 - 0.574],0.486 [0.482 - 0.490],0.002 [0.002 - 0.003],-0.032 [-0.114 - 0.061],0.004 [0.003 - 0.006]
Demographic,0.512 [0.458 - 0.563],0.517 [0.513 - 0.521],0.516 [0.421 - 0.602],0.517 [0.513 - 0.521],0.003 [0.002 - 0.003],0.033 [-0.062 - 0.119],0.005 [0.004 - 0.006]
Protein+Demographic,0.506 [0.456 - 0.556],0.491 [0.487 - 0.495],0.492 [0.404 - 0.585],0.491 [0.487 - 0.495],0.002 [0.002 - 0.003],-0.017 [-0.103 - 0.072],0.005 [0.003 - 0.006]
