,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.584 [0.567 - 0.597],0.561 [0.557 - 0.565],0.562 [0.537 - 0.588],0.561 [0.557 - 0.565],0.031 [0.028 - 0.033],0.123 [0.096 - 0.148],0.058 [0.054 - 0.062]
Demographic,0.619 [0.603 - 0.634],0.582 [0.577 - 0.586],0.582 [0.555 - 0.608],0.582 [0.578 - 0.586],0.033 [0.031 - 0.035],0.164 [0.136 - 0.191],0.063 [0.058 - 0.067]
Protein+Demographic,0.616 [0.600 - 0.632],0.579 [0.575 - 0.583],0.579 [0.552 - 0.605],0.579 [0.575 - 0.583],0.033 [0.030 - 0.035],0.158 [0.130 - 0.185],0.062 [0.058 - 0.066]
