,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.546 [0.519 - 0.574],0.533 [0.529 - 0.538],0.534 [0.485 - 0.582],0.533 [0.529 - 0.538],0.008 [0.007 - 0.010],0.067 [0.019 - 0.116],0.017 [0.014 - 0.019]
Demographic,0.657 [0.633 - 0.679],0.610 [0.605 - 0.614],0.610 [0.562 - 0.659],0.610 [0.606 - 0.614],0.011 [0.010 - 0.013],0.220 [0.172 - 0.269],0.023 [0.020 - 0.025]
Protein+Demographic,0.651 [0.628 - 0.677],0.603 [0.599 - 0.607],0.603 [0.551 - 0.652],0.603 [0.599 - 0.607],0.011 [0.010 - 0.013],0.206 [0.154 - 0.254],0.022 [0.019 - 0.025]
