,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.521 [0.479 - 0.568],0.512 [0.507 - 0.517],0.506 [0.436 - 0.586],0.512 [0.506 - 0.517],0.005 [0.004 - 0.006],0.018 [-0.052 - 0.098],0.009 [0.007 - 0.011]
Demographic,0.591 [0.549 - 0.634],0.570 [0.565 - 0.575],0.570 [0.497 - 0.646],0.570 [0.565 - 0.575],0.006 [0.005 - 0.007],0.140 [0.068 - 0.215],0.011 [0.009 - 0.014]
Protein+Demographic,0.558 [0.516 - 0.606],0.552 [0.547 - 0.557],0.551 [0.477 - 0.626],0.552 [0.547 - 0.557],0.005 [0.004 - 0.007],0.103 [0.030 - 0.178],0.011 [0.008 - 0.013]
