,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.584 [0.539 - 0.631],0.571 [0.567 - 0.575],0.569 [0.481 - 0.653],0.571 [0.567 - 0.575],0.003 [0.003 - 0.004],0.140 [0.051 - 0.224],0.007 [0.005 - 0.008]
Demographic,0.635 [0.588 - 0.679],0.608 [0.604 - 0.612],0.607 [0.525 - 0.687],0.608 [0.604 - 0.612],0.004 [0.003 - 0.005],0.215 [0.133 - 0.294],0.008 [0.006 - 0.010]
Protein+Demographic,0.608 [0.560 - 0.654],0.576 [0.572 - 0.581],0.576 [0.485 - 0.654],0.576 [0.572 - 0.581],0.003 [0.003 - 0.004],0.153 [0.062 - 0.231],0.007 [0.005 - 0.009]
