,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.483 [0.432 - 0.535],0.482 [0.478 - 0.487],0.483 [0.390 - 0.575],0.482 [0.478 - 0.487],0.002 [0.002 - 0.002],-0.035 [-0.126 - 0.057],0.004 [0.003 - 0.005]
Demographic,0.573 [0.522 - 0.621],0.571 [0.567 - 0.575],0.574 [0.482 - 0.661],0.571 [0.566 - 0.575],0.003 [0.002 - 0.004],0.145 [0.052 - 0.233],0.006 [0.004 - 0.007]
Protein+Demographic,0.515 [0.458 - 0.572],0.488 [0.484 - 0.492],0.491 [0.405 - 0.588],0.488 [0.484 - 0.492],0.002 [0.002 - 0.003],-0.020 [-0.107 - 0.074],0.004 [0.003 - 0.005]
