,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.675 [0.664 - 0.686],0.629 [0.625 - 0.633],0.629 [0.612 - 0.648],0.629 [0.625 - 0.634],0.092 [0.088 - 0.095],0.258 [0.240 - 0.277],0.160 [0.153 - 0.166]
Demographic,0.629 [0.619 - 0.639],0.597 [0.593 - 0.601],0.597 [0.580 - 0.616],0.597 [0.593 - 0.601],0.081 [0.077 - 0.084],0.194 [0.176 - 0.212],0.142 [0.136 - 0.148]
Protein+Demographic,0.676 [0.666 - 0.687],0.628 [0.624 - 0.632],0.628 [0.610 - 0.645],0.628 [0.624 - 0.632],0.091 [0.087 - 0.095],0.255 [0.237 - 0.273],0.159 [0.153 - 0.165]
