,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.557 [0.515 - 0.597],0.554 [0.550 - 0.559],0.553 [0.475 - 0.627],0.554 [0.550 - 0.559],0.004 [0.003 - 0.005],0.107 [0.028 - 0.183],0.008 [0.007 - 0.010]
Demographic,0.634 [0.594 - 0.670],0.599 [0.595 - 0.603],0.603 [0.523 - 0.673],0.599 [0.595 - 0.603],0.005 [0.004 - 0.006],0.202 [0.122 - 0.271],0.010 [0.008 - 0.012]
Protein+Demographic,0.655 [0.618 - 0.691],0.618 [0.614 - 0.622],0.619 [0.547 - 0.689],0.618 [0.614 - 0.622],0.005 [0.004 - 0.006],0.236 [0.166 - 0.305],0.011 [0.009 - 0.013]
