,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.519 [0.471 - 0.568],0.547 [0.543 - 0.552],0.546 [0.459 - 0.630],0.547 [0.543 - 0.552],0.003 [0.002 - 0.004],0.093 [0.007 - 0.176],0.006 [0.005 - 0.008]
Demographic,0.613 [0.571 - 0.653],0.581 [0.577 - 0.585],0.583 [0.500 - 0.664],0.581 [0.577 - 0.585],0.004 [0.003 - 0.004],0.163 [0.081 - 0.245],0.007 [0.006 - 0.009]
Protein+Demographic,0.553 [0.510 - 0.599],0.543 [0.539 - 0.548],0.545 [0.460 - 0.634],0.543 [0.539 - 0.548],0.003 [0.002 - 0.004],0.089 [0.003 - 0.177],0.006 [0.005 - 0.007]
