,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.821 [0.808 - 0.832],0.752 [0.748 - 0.756],0.752 [0.730 - 0.774],0.752 [0.748 - 0.756],0.090 [0.085 - 0.095],0.504 [0.481 - 0.527],0.161 [0.152 - 0.169]
Demographic,0.735 [0.721 - 0.749],0.682 [0.678 - 0.686],0.683 [0.658 - 0.707],0.682 [0.678 - 0.686],0.066 [0.062 - 0.069],0.366 [0.341 - 0.389],0.120 [0.113 - 0.126]
Protein+Demographic,0.824 [0.812 - 0.835],0.751 [0.747 - 0.755],0.750 [0.727 - 0.773],0.751 [0.747 - 0.755],0.089 [0.084 - 0.094],0.501 [0.477 - 0.524],0.160 [0.151 - 0.168]
