,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.516 [0.484 - 0.550],0.492 [0.485 - 0.499],0.492 [0.436 - 0.545],0.492 [0.485 - 0.499],0.014 [0.012 - 0.016],-0.016 [-0.073 - 0.038],0.027 [0.023 - 0.032]
Demographic,0.552 [0.518 - 0.586],0.545 [0.537 - 0.552],0.546 [0.491 - 0.601],0.545 [0.538 - 0.552],0.017 [0.015 - 0.020],0.090 [0.036 - 0.147],0.034 [0.029 - 0.039]
Protein+Demographic,0.539 [0.509 - 0.571],0.534 [0.528 - 0.541],0.536 [0.481 - 0.595],0.534 [0.528 - 0.541],0.017 [0.014 - 0.019],0.070 [0.015 - 0.130],0.032 [0.028 - 0.037]
