,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.502 [0.459 - 0.547],0.506 [0.501 - 0.509],0.501 [0.426 - 0.577],0.505 [0.501 - 0.510],0.003 [0.002 - 0.003],0.007 [-0.068 - 0.084],0.005 [0.004 - 0.007]
Demographic,0.606 [0.562 - 0.646],0.586 [0.582 - 0.590],0.589 [0.503 - 0.667],0.586 [0.582 - 0.590],0.004 [0.003 - 0.005],0.175 [0.089 - 0.255],0.008 [0.006 - 0.009]
Protein+Demographic,0.567 [0.521 - 0.615],0.538 [0.534 - 0.542],0.537 [0.454 - 0.622],0.538 [0.534 - 0.542],0.003 [0.003 - 0.004],0.075 [-0.007 - 0.160],0.006 [0.005 - 0.008]
