,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.567 [0.543 - 0.591],0.552 [0.548 - 0.556],0.553 [0.515 - 0.597],0.552 [0.548 - 0.556],0.012 [0.011 - 0.013],0.106 [0.066 - 0.148],0.023 [0.021 - 0.026]
Demographic,0.600 [0.578 - 0.625],0.580 [0.576 - 0.585],0.580 [0.538 - 0.622],0.580 [0.576 - 0.585],0.013 [0.012 - 0.015],0.160 [0.119 - 0.201],0.026 [0.023 - 0.029]
Protein+Demographic,0.620 [0.596 - 0.641],0.583 [0.579 - 0.587],0.582 [0.539 - 0.623],0.583 [0.579 - 0.587],0.014 [0.012 - 0.015],0.165 [0.122 - 0.205],0.026 [0.024 - 0.029]
