,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.714 [0.691 - 0.735],0.664 [0.660 - 0.668],0.662 [0.618 - 0.705],0.664 [0.660 - 0.668],0.016 [0.014 - 0.018],0.325 [0.282 - 0.369],0.031 [0.027 - 0.034]
Demographic,0.698 [0.675 - 0.720],0.640 [0.636 - 0.645],0.642 [0.596 - 0.686],0.640 [0.636 - 0.645],0.014 [0.013 - 0.016],0.281 [0.237 - 0.326],0.028 [0.025 - 0.031]
Protein+Demographic,0.725 [0.703 - 0.747],0.672 [0.668 - 0.676],0.674 [0.629 - 0.718],0.672 [0.668 - 0.676],0.016 [0.014 - 0.018],0.347 [0.301 - 0.389],0.032 [0.028 - 0.036]
