,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.519 [0.487 - 0.552],0.534 [0.529 - 0.538],0.531 [0.473 - 0.588],0.534 [0.529 - 0.538],0.006 [0.005 - 0.007],0.065 [0.007 - 0.123],0.012 [0.011 - 0.014]
Demographic,0.531 [0.498 - 0.562],0.512 [0.508 - 0.516],0.513 [0.455 - 0.569],0.512 [0.508 - 0.516],0.006 [0.005 - 0.007],0.024 [-0.033 - 0.082],0.012 [0.010 - 0.013]
Protein+Demographic,0.513 [0.481 - 0.546],0.528 [0.524 - 0.532],0.529 [0.471 - 0.588],0.528 [0.524 - 0.532],0.006 [0.005 - 0.007],0.057 [-0.000 - 0.115],0.012 [0.010 - 0.014]
