,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.491 [0.454 - 0.534],0.499 [0.494 - 0.505],0.495 [0.423 - 0.570],0.499 [0.494 - 0.505],0.006 [0.005 - 0.008],-0.005 [-0.079 - 0.071],0.013 [0.010 - 0.015]
Demographic,0.447 [0.410 - 0.487],0.457 [0.450 - 0.462],0.456 [0.382 - 0.530],0.457 [0.450 - 0.462],0.005 [0.004 - 0.007],-0.088 [-0.162 - -0.012],0.011 [0.008 - 0.013]
Protein+Demographic,0.476 [0.437 - 0.516],0.482 [0.477 - 0.488],0.483 [0.408 - 0.550],0.482 [0.477 - 0.488],0.006 [0.005 - 0.007],-0.034 [-0.109 - 0.035],0.012 [0.009 - 0.014]
