,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.538 [0.481 - 0.591],0.541 [0.537 - 0.546],0.543 [0.439 - 0.640],0.541 [0.537 - 0.546],0.002 [0.002 - 0.003],0.084 [-0.018 - 0.181],0.005 [0.004 - 0.006]
Demographic,0.618 [0.565 - 0.671],0.562 [0.557 - 0.566],0.562 [0.464 - 0.660],0.562 [0.557 - 0.566],0.003 [0.002 - 0.003],0.123 [0.026 - 0.221],0.005 [0.004 - 0.007]
Protein+Demographic,0.588 [0.532 - 0.643],0.549 [0.545 - 0.553],0.553 [0.451 - 0.645],0.549 [0.545 - 0.553],0.003 [0.002 - 0.003],0.102 [0.002 - 0.195],0.005 [0.004 - 0.007]
