,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.456 [0.417 - 0.495],0.488 [0.484 - 0.492],0.487 [0.417 - 0.560],0.488 [0.484 - 0.492],0.003 [0.003 - 0.004],-0.023 [-0.093 - 0.048],0.007 [0.005 - 0.008]
Demographic,0.577 [0.538 - 0.617],0.564 [0.560 - 0.568],0.566 [0.500 - 0.635],0.564 [0.560 - 0.568],0.005 [0.004 - 0.006],0.130 [0.065 - 0.199],0.009 [0.008 - 0.011]
Protein+Demographic,0.477 [0.437 - 0.519],0.480 [0.476 - 0.484],0.478 [0.412 - 0.552],0.480 [0.476 - 0.484],0.003 [0.003 - 0.004],-0.042 [-0.108 - 0.034],0.007 [0.005 - 0.008]
