,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.571 [0.537 - 0.604],0.544 [0.536 - 0.551],0.545 [0.485 - 0.609],0.544 [0.536 - 0.551],0.016 [0.014 - 0.019],0.089 [0.028 - 0.152],0.032 [0.027 - 0.037]
Demographic,0.639 [0.606 - 0.669],0.606 [0.600 - 0.613],0.610 [0.556 - 0.662],0.606 [0.600 - 0.613],0.021 [0.018 - 0.025],0.216 [0.162 - 0.269],0.041 [0.035 - 0.047]
Protein+Demographic,0.633 [0.599 - 0.664],0.601 [0.595 - 0.608],0.597 [0.542 - 0.650],0.601 [0.595 - 0.609],0.020 [0.018 - 0.024],0.199 [0.142 - 0.252],0.040 [0.034 - 0.046]
