,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.875 [0.856 - 0.893],0.797 [0.794 - 0.800],0.798 [0.760 - 0.833],0.797 [0.794 - 0.800],0.034 [0.030 - 0.037],0.596 [0.556 - 0.630],0.065 [0.059 - 0.071]
Demographic,0.749 [0.726 - 0.772],0.682 [0.678 - 0.686],0.681 [0.642 - 0.725],0.682 [0.678 - 0.686],0.019 [0.017 - 0.021],0.363 [0.323 - 0.408],0.036 [0.033 - 0.041]
Protein+Demographic,0.875 [0.857 - 0.892],0.798 [0.794 - 0.801],0.797 [0.760 - 0.833],0.798 [0.794 - 0.801],0.034 [0.031 - 0.037],0.595 [0.557 - 0.630],0.065 [0.059 - 0.071]
