,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.488 [0.427 - 0.545],0.472 [0.468 - 0.476],0.469 [0.377 - 0.557],0.472 [0.468 - 0.476],0.002 [0.002 - 0.003],-0.059 [-0.151 - 0.029],0.004 [0.003 - 0.005]
Demographic,0.621 [0.577 - 0.669],0.584 [0.580 - 0.588],0.585 [0.493 - 0.677],0.584 [0.580 - 0.588],0.003 [0.003 - 0.004],0.169 [0.078 - 0.261],0.007 [0.005 - 0.008]
Protein+Demographic,0.544 [0.491 - 0.592],0.549 [0.545 - 0.554],0.537 [0.444 - 0.622],0.549 [0.545 - 0.554],0.003 [0.002 - 0.004],0.086 [-0.007 - 0.172],0.006 [0.004 - 0.007]
