,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.491 [0.463 - 0.520],0.500 [0.496 - 0.504],0.500 [0.451 - 0.548],0.500 [0.496 - 0.504],0.007 [0.006 - 0.008],0.000 [-0.049 - 0.048],0.014 [0.012 - 0.016]
Demographic,0.539 [0.510 - 0.568],0.530 [0.525 - 0.534],0.528 [0.480 - 0.580],0.530 [0.525 - 0.534],0.008 [0.007 - 0.009],0.058 [0.009 - 0.111],0.015 [0.013 - 0.018]
Protein+Demographic,0.510 [0.481 - 0.537],0.521 [0.517 - 0.525],0.520 [0.470 - 0.568],0.521 [0.517 - 0.525],0.008 [0.006 - 0.009],0.041 [-0.009 - 0.088],0.015 [0.013 - 0.017]
