,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.510 [0.471 - 0.548],0.503 [0.499 - 0.507],0.505 [0.436 - 0.566],0.503 [0.499 - 0.507],0.004 [0.003 - 0.005],0.007 [-0.061 - 0.068],0.008 [0.007 - 0.010]
Demographic,0.648 [0.615 - 0.683],0.619 [0.615 - 0.623],0.619 [0.559 - 0.676],0.619 [0.615 - 0.623],0.007 [0.006 - 0.008],0.238 [0.178 - 0.295],0.014 [0.012 - 0.016]
Protein+Demographic,0.582 [0.543 - 0.619],0.544 [0.540 - 0.548],0.544 [0.479 - 0.606],0.544 [0.540 - 0.548],0.005 [0.004 - 0.006],0.088 [0.023 - 0.151],0.010 [0.008 - 0.012]
