,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.459 [0.411 - 0.507],0.492 [0.487 - 0.496],0.485 [0.405 - 0.561],0.492 [0.487 - 0.496],0.003 [0.002 - 0.004],-0.023 [-0.101 - 0.051],0.006 [0.004 - 0.007]
Demographic,0.511 [0.466 - 0.552],0.509 [0.505 - 0.514],0.509 [0.433 - 0.583],0.509 [0.505 - 0.514],0.003 [0.002 - 0.004],0.018 [-0.059 - 0.093],0.006 [0.005 - 0.008]
Protein+Demographic,0.443 [0.398 - 0.492],0.473 [0.469 - 0.478],0.469 [0.399 - 0.550],0.473 [0.469 - 0.478],0.003 [0.002 - 0.003],-0.057 [-0.128 - 0.023],0.005 [0.004 - 0.007]
