,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.564 [0.517 - 0.607],0.548 [0.544 - 0.553],0.546 [0.461 - 0.632],0.548 [0.544 - 0.553],0.003 [0.002 - 0.004],0.096 [0.008 - 0.181],0.006 [0.004 - 0.007]
Demographic,0.745 [0.703 - 0.781],0.675 [0.671 - 0.679],0.676 [0.586 - 0.750],0.675 [0.671 - 0.679],0.005 [0.004 - 0.006],0.351 [0.259 - 0.425],0.010 [0.008 - 0.012]
Protein+Demographic,0.701 [0.663 - 0.737],0.644 [0.640 - 0.648],0.637 [0.554 - 0.724],0.644 [0.640 - 0.648],0.004 [0.003 - 0.005],0.282 [0.197 - 0.368],0.008 [0.007 - 0.010]
