Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL10RB,Interleukin-10 receptor subunit beta,23006,681,1.94 [1.61-2.34],2.6674783089777968e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL18BP,Interleukin-18-binding protein,23037,684,2.06 [1.69-2.50],2.7390164856041813e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL1R1,Interleukin-1 receptor type 1,22891,676,2.42 [1.87-3.13],2.426365875765299e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL2RA,Interleukin-2 receptor subunit alpha,22790,675,1.68 [1.46-1.93],5.180292770363948e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL4R,Interleukin-4 receptor subunit alpha,22901,679,1.71 [1.45-2.01],1.1823941682486016e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL6ST,Interleukin-6 receptor subunit beta,22927,681,3.18 [2.24-4.51],1.0396469358850244e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ITGA5,Integrin alpha-5,22933,677,2.14 [1.65-2.78],1.1792688853482225e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,JAM2,Junctional adhesion molecule B,23132,682,1.94 [1.54-2.43],1.2767425314219188e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,KLK11,Kallikrein-11,22759,677,1.62 [1.37-1.90],7.613600472055375e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,22890,676,1.64 [1.44-1.88],4.9070778695847e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LAYN,Layilin,22692,671,1.89 [1.60-2.24],1.0708804462995844e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LGALS4,Galectin-4,22890,676,1.44 [1.28-1.61],2.937286314261065e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LGALS9,Galectin-9,22899,674,2.18 [1.79-2.66],2.1750859559359112e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,22530,657,1.51 [1.30-1.76],5.483581001156957e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LMNB2,Lamin-B2,19807,579,2.08 [1.64-2.64],1.1682637471376414e-09
