Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ACVRL1,Serine/threonine-protein kinase receptor R3,22947,1170,1.81 [1.50-2.18],6.091622235200944e-10
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19494,992,1.64 [1.39-1.92],1.350785696992945e-09
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ADAMTSL2,ADAMTS-like protein 2,20092,1018,1.71 [1.46-2.00],3.0675529369044163e-11
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ADM,Pro-adrenomedullin,23392,1191,1.97 [1.62-2.40],1.6843096940209974e-11
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ANGPT2,Angiopoietin-2,23392,1191,1.49 [1.31-1.70],2.688496267415004e-09
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ANGPTL4,Angiopoietin-related protein 4,23236,1187,1.47 [1.31-1.64],3.4631589603307586e-11
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,AREG,Amphiregulin,23086,1169,1.81 [1.61-2.03],4.8759811265204606e-24
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ASGR1,Asialoglycoprotein receptor 1,22988,1171,1.80 [1.54-2.11],1.9878820339898952e-13
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,B2M,Beta-2-microglobulin,20112,1021,1.44 [1.29-1.61],1.6329819863214024e-10
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,B4GALT1,"Beta-1,4-galactosyltransferase 1",23270,1190,1.66 [1.38-1.98],3.3573777047897634e-08
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,BAMBI,BMP and activin membrane-bound inhibitor homolog,22643,1150,1.56 [1.33-1.84],7.03759838055218e-08
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,BSG,Basigin,23422,1189,2.47 [1.94-3.13],1.0355991254770317e-13
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,BST2,Bone marrow stromal antigen 2,23398,1192,1.43 [1.31-1.55],2.374920777694683e-17
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,C7,Complement component C7,19628,998,2.00 [1.66-2.40],1.9308610010959147e-13
