Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
MIF,Macrophage migration inhibitory factor,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,22533,2113,1.10 [1.03-1.17],0.0022183786156714
MIF,Macrophage migration inhibitory factor,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,20133,396,1.20 [1.05-1.37],0.006938343807081
MIF,Macrophage migration inhibitory factor,Chapter XI Diseases of the digestive system,Diseases of liver,26937,102,0.71 [0.55-0.90],0.0059264712964781
