Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Duodenal ulcer,CA9,Carbonic anhydrase 9,39163,249,2.13 [1.76-2.57],4.155867905132307e-15
Chapter XI Diseases of the digestive system,Duodenal ulcer,CBLIF,Cobalamin binding intrinsic factor,38738,247,2.04 [1.77-2.36],3.744593668456133e-22
Chapter XI Diseases of the digestive system,Duodenal ulcer,CD83,CD83 antigen,38756,247,2.66 [2.02-3.49],2.8219833984194768e-12
Chapter XI Diseases of the digestive system,Duodenal ulcer,CHGA,Chromogranin-A,33848,220,2.15 [1.95-2.37],8.832319575254961e-54
Chapter XI Diseases of the digestive system,Duodenal ulcer,GAST,Gastrin,33773,223,1.64 [1.52-1.76],8.779310477092105e-42
Chapter XI Diseases of the digestive system,Duodenal ulcer,GDF15,Growth/differentiation factor 15,39302,251,1.85 [1.57-2.18],2.079476404047607e-13
Chapter XI Diseases of the digestive system,Duodenal ulcer,LIPF,Gastric triacylglycerol lipase,32960,214,2.00 [1.69-2.36],2.667979825255748e-16
Chapter XI Diseases of the digestive system,Duodenal ulcer,OCLN,Occludin,33796,222,2.12 [1.70-2.63],1.2833670790958873e-11
Chapter XI Diseases of the digestive system,Duodenal ulcer,PGA4,Pepsin A-4,33868,222,3.04 [2.60-3.54],1.5308683966458613e-45
Chapter XI Diseases of the digestive system,Duodenal ulcer,PLAUR,Urokinase plasminogen activator surface receptor,38534,248,2.98 [2.13-4.17],1.8806211670766607e-10
Chapter XI Diseases of the digestive system,Duodenal ulcer,RNASE6,Ribonuclease K6,33628,221,2.12 [1.68-2.67],2.5927125460209617e-10
Chapter XI Diseases of the digestive system,Duodenal ulcer,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,38842,246,1.82 [1.53-2.17],2.500781971124612e-11
Chapter XI Diseases of the digestive system,Duodenal ulcer,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,39184,252,2.32 [1.83-2.95],5.874596989659941e-12
Chapter XI Diseases of the digestive system,Duodenal ulcer,VSIG2,V-set and immunoglobulin domain-containing protein 2,33692,224,2.99 [2.59-3.44],6.443933530322752e-52
Chapter XI Diseases of the digestive system,Duodenal ulcer,WFDC2,WAP four-disulfide core domain protein 2,36846,231,2.17 [1.75-2.69],1.8058088515404562e-12
