Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNAJB6,DnaJ homolog subfamily B member 6,23732,276,1.14 [1.00-1.30],0.0557414085843889
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNAJB8,DnaJ homolog subfamily B member 8,27680,317,0.95 [0.79-1.14],0.5557569034226096
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNAJC21,DnaJ homolog subfamily C member 21,24426,280,1.12 [0.85-1.48],0.4282402134391225
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNAJC6,Putative tyrosine-protein phosphatase auxilin,23825,277,1.11 [0.97-1.27],0.1255557406468021
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNAJC9,DnaJ homolog subfamily C member 9,24401,284,1.05 [0.90-1.21],0.5447548112090063
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNER,Delta and Notch-like epidermal growth factor-related receptor,28122,320,1.03 [0.70-1.52],0.8718442117059402
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNLZ,DNL-type zinc finger protein,23718,274,1.02 [0.89-1.16],0.8080809421260522
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNM1,Dynamin-1,24401,284,1.05 [0.95-1.16],0.3531473612704934
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNM3,Dynamin-3,24461,280,1.07 [0.88-1.31],0.5064955100415297
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNMBP,Dynamin-binding protein,27990,315,1.14 [0.98-1.32],0.0980963324127171
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNPEP,Aspartyl aminopeptidase,24426,280,1.01 [0.83-1.22],0.9455724898691444
Chapter X Diseases of the respiratory system,Allergic rhinitis,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,28254,322,1.05 [0.87-1.27],0.605813266902981
