Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ASGR1,Asialoglycoprotein receptor 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,8,0.90 [0.81-0.99],0.0357412922633836
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Crohn's disease NAS,Inverse variance weighted,8,0.59 [0.40-0.86],0.0064686277558541
ASGR1,Asialoglycoprotein receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,Inverse variance weighted,8,0.83 [0.71-0.98],0.0241270175132438
ASGR1,Asialoglycoprotein receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,Inverse variance weighted,8,0.88 [0.81-0.96],0.0055664357323429
ASGR1,Asialoglycoprotein receptor 1,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,Inverse variance weighted,8,0.89 [0.82-0.97],0.0060379614101961
ASGR1,Asialoglycoprotein receptor 1,Chapter IX Diseases of the circulatory system,"Atherosclerosis, excluding cerebral and coronary sclerosis",Inverse variance weighted,8,0.84 [0.73-0.98],0.0252425472379226
ASGR1,Asialoglycoprotein receptor 1,Chapter IX Diseases of the circulatory system,Cardiac arrest,Inverse variance weighted,8,2.13 [1.42-3.21],0.0002923066054597
ASGR1,Asialoglycoprotein receptor 1,Chapter IX Diseases of the circulatory system,Left bundle-branch block,Inverse variance weighted,8,1.65 [1.11-2.45],0.0138544720797294
ASGR1,Asialoglycoprotein receptor 1,Chapter X Diseases of the respiratory system,Lung diseases due to external agents,Inverse variance weighted,8,0.61 [0.47-0.80],0.000355618536555
ASGR1,Asialoglycoprotein receptor 1,Chapter X Diseases of the respiratory system,Pneumonitis due to solids and liquids,Inverse variance weighted,8,0.61 [0.42-0.89],0.0113028282597742
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,Inverse variance weighted,8,0.85 [0.76-0.95],0.0041137940868078
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Diverticular disease of intestine,Inverse variance weighted,8,0.76 [0.65-0.90],0.0011617318644331
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,Inverse variance weighted,8,0.79 [0.69-0.90],0.0004352485560923
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Other diseases of intestines,Inverse variance weighted,8,0.89 [0.82-0.96],0.0022925497908693
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,Inverse variance weighted,8,0.79 [0.65-0.96],0.0185731479947325
ASGR1,Asialoglycoprotein receptor 1,Chapter XI Diseases of the digestive system,Other diseases of pancreas,Inverse variance weighted,8,1.62 [1.08-2.43],0.0209220458141244
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,8,0.89 [0.83-0.94],9.08094945083239e-05
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,Inverse variance weighted,8,0.83 [0.76-0.91],0.0001363459590573
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,Inverse variance weighted,8,0.83 [0.77-0.91],1.43902387043793e-05
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,Inverse variance weighted,8,0.75 [0.66-0.85],1.07295929909747e-05
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,Inverse variance weighted,8,0.84 [0.72-0.98],0.0224121333284684
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,Inverse variance weighted,8,0.88 [0.81-0.96],0.0055107011190778
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",Inverse variance weighted,8,0.87 [0.79-0.95],0.0035232720952888
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,Inverse variance weighted,8,0.90 [0.81-1.00],0.0470064127934875
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified disorders of muscle,Inverse variance weighted,8,2.70 [1.44-5.05],0.0019330681160657
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,Inverse variance weighted,8,0.91 [0.85-0.98],0.0109208484437501
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified soft tissue disorders,Inverse variance weighted,8,0.45 [0.29-0.71],0.0006310794962969
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,Inverse variance weighted,8,0.80 [0.69-0.93],0.0036010137394065
ASGR1,Asialoglycoprotein receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Inverse variance weighted,8,0.85 [0.73-0.98],0.0266217203652772
ASGR1,Asialoglycoprotein receptor 1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,8,0.82 [0.68-0.98],0.0318153060835231
