Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
COL6A3,Collagen alpha-3(VI) chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Iron deficiency,Inverse variance weighted,5,7.02 [1.08-45.59],0.0412044441176996
COL6A3,Collagen alpha-3(VI) chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of mineral metabolism,Inverse variance weighted,5,1.90 [1.04-3.45],0.0364535583028889
COL6A3,Collagen alpha-3(VI) chain,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,5,1.26 [1.02-1.55],0.0333626244357633
COL6A3,Collagen alpha-3(VI) chain,Chapter IX Diseases of the circulatory system,Other disorders of veins,Inverse variance weighted,5,0.73 [0.57-0.95],0.0188903457545981
COL6A3,Collagen alpha-3(VI) chain,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),Inverse variance weighted,5,1.58 [1.11-2.26],0.0115196858111783
COL6A3,Collagen alpha-3(VI) chain,Chapter XI Diseases of the digestive system,Other diseases of intestine,Inverse variance weighted,5,1.66 [1.00-2.76],0.04877415290014
COL6A3,Collagen alpha-3(VI) chain,Chapter XI Diseases of the digestive system,Acute peritonitis,Inverse variance weighted,5,1.98 [1.02-3.84],0.0432900550762272
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,Inverse variance weighted,5,1.38 [1.11-1.71],0.0037205265608844
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other intervertebral disc disorders,Inverse variance weighted,5,1.27 [1.02-1.58],0.0296591310358053
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Postprocedural musculoskeletal disorders, not elsewhere classified",Inverse variance weighted,5,2.24 [1.03-4.87],0.0427205767733422
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,Inverse variance weighted,5,1.33 [1.02-1.73],0.0321323007072492
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,Inverse variance weighted,5,1.34 [1.02-1.78],0.0384226832858608
COL6A3,Collagen alpha-3(VI) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,Inverse variance weighted,5,1.25 [1.01-1.54],0.0401841876182531
COL6A3,Collagen alpha-3(VI) chain,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,5,2.44 [1.05-5.72],0.0392148995887669
