Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ITGA5,Integrin alpha-5,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,19,1.10 [1.02-1.17],0.0085913373893863
ITGA5,Integrin alpha-5,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,19,1.07 [1.01-1.14],0.0310451318095679
ITGA5,Integrin alpha-5,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,19,1.40 [1.01-1.96],0.0464364371152526
ITGA5,Integrin alpha-5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,19,0.79 [0.66-0.94],0.0077276767403057
ITGA5,Integrin alpha-5,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,19,0.91 [0.85-0.97],0.0064300024772171
ITGA5,Integrin alpha-5,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,19,0.91 [0.85-0.97],0.0059719692521341
ITGA5,Integrin alpha-5,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,19,0.93 [0.87-1.00],0.0394240221376342
ITGA5,Integrin alpha-5,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,19,0.88 [0.77-1.00],0.0458021176046324
ITGA5,Integrin alpha-5,Chapter X Diseases of the respiratory system,Pleural effusion,Inverse variance weighted,19,0.80 [0.65-1.00],0.0482311263739175
ITGA5,Integrin alpha-5,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,19,1.18 [1.01-1.39],0.0413070125599569
ITGA5,Integrin alpha-5,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,Inverse variance weighted,19,1.42 [1.02-1.96],0.0349736472182912
ITGA5,Integrin alpha-5,Chapter XI Diseases of the digestive system,Other inflammatory liver diseases,Inverse variance weighted,19,0.76 [0.59-1.00],0.0473455072601335
