Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ITGB7,Integrin beta-7,Chapter XI Diseases of the digestive system,Intestinal malabsorption,Inverse variance weighted,46,1.18 [1.02-1.38],0.025810685159747
ITGB7,Integrin beta-7,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,46,0.92 [0.86-1.00],0.0448099256922109
