Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ARSA,Arylsulfatase A,39670,1074,1.20 [1.07-1.34],0.0020424267327936
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ASAH1,Acid ceramidase,34227,910,1.33 [1.18-1.49],1.684621096433403e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ASGR1,Asialoglycoprotein receptor 1,39375,1069,2.05 [1.74-2.42],1.8211664808445464e-17
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ASGR2,Asialoglycoprotein receptor 2,34570,924,1.91 [1.52-2.39],2.348142031613336e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ATRAID,All-trans retinoic acid-induced differentiation factor,34401,923,1.53 [1.36-1.73],6.372058899904067e-12
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,B2M,Beta-2-microglobulin,34585,925,1.43 [1.28-1.59],3.581137717503877e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,B4GALT1,"Beta-1,4-galactosyltransferase 1",39804,1074,1.44 [1.19-1.74],0.0001960382365982
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,38741,1047,1.23 [1.14-1.34],3.661583877486901e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BAMBI,BMP and activin membrane-bound inhibitor homolog,38741,1047,1.32 [1.10-1.57],0.0022785821734401
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BMPER,BMP-binding endothelial regulator protein,33792,903,1.56 [1.19-2.05],0.0012600306600532
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BPIFA2,BPI fold-containing family A member 2,32461,882,0.91 [0.86-0.97],0.0024773806390247
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BSG,Basigin,40013,1081,2.58 [1.99-3.34],5.701631068644684e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BST2,Bone marrow stromal antigen 2,39999,1079,1.48 [1.36-1.61],5.790583087041003e-20
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BTN2A1,Butyrophilin subfamily 2 member A1,39804,1074,1.71 [1.41-2.08],5.502952572864749e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,BTN3A2,Butyrophilin subfamily 3 member A2,39578,1069,1.39 [1.22-1.58],6.996196455428417e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C19orf12,Protein C19orf12,38741,1048,1.14 [1.05-1.23],0.0008325653538227
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C1QA,Complement C1q subcomponent subunit A,39879,1080,2.01 [1.60-2.54],3.997294076044754e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",34496,922,1.13 [1.05-1.22],0.000869423818877
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,33792,903,1.38 [1.16-1.65],0.0003040326405914
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C1RL,Complement C1r subcomponent-like protein,34523,924,1.55 [1.12-2.15],0.0083861533909286
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C3,Complement C3,32804,872,1.19 [1.04-1.35],0.0092545541746252
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C7,Complement component C7,33735,899,1.93 [1.57-2.36],2.0350202656344608e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,C8B,Complement component C8 beta chain,34585,925,0.67 [0.55-0.82],0.0001209820435879
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CA12,Carbonic anhydrase 12,39505,1065,1.45 [1.24-1.70],3.5378755118523822e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CA5A,"Carbonic anhydrase 5A, mitochondrial",38955,1057,1.16 [1.10-1.23],2.390922824583567e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CA6,Carbonic anhydrase 6,39543,1070,0.78 [0.71-0.85],5.587043285449021e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CA9,Carbonic anhydrase 9,39994,1080,1.50 [1.35-1.66],6.168618948160694e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CALB1,Calbindin,39505,1065,1.27 [1.12-1.44],0.0001882885039671
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CALCA,Calcitonin,39310,1068,1.23 [1.14-1.33],2.0708618643165066e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CANT1,Soluble calcium-activated nucleotidase 1,39511,1074,1.63 [1.25-2.13],0.0002687137779805
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CAPG,Macrophage-capping protein,39350,1066,1.13 [1.04-1.24],0.0061977516132295
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CBLIF,Cobalamin binding intrinsic factor,39565,1074,1.29 [1.20-1.39],3.622735253709226e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CBS,Cystathionine beta-synthase,33656,910,1.18 [1.06-1.33],0.0034844989379484
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCDC80,Coiled-coil domain-containing protein 80,39627,1078,1.38 [1.20-1.60],1.1535422806967362e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL11,Eotaxin,40081,1081,1.41 [1.22-1.62],3.168014179150988e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL15,C-C motif chemokine 15,40139,1088,1.40 [1.25-1.57],5.675490604950395e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL16,C-C motif chemokine 16,40139,1088,1.18 [1.07-1.31],0.0013634930281637
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL20,C-C motif chemokine 20,40081,1081,1.24 [1.18-1.30],6.205689832833968e-17
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL21,C-C motif chemokine 21,39804,1074,1.33 [1.19-1.48],2.049871227795183e-07
