Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Conduction disorders,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,0.86 [0.79-0.94],0.00048981479629
Chapter IX Diseases of the circulatory system,Conduction disorders,WNT9A,Protein Wnt-9a,Inverse variance weighted,7,1.40 [1.16-1.69],0.0004071706021863
