Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Later onset COPD,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,0.90 [0.84-0.96],0.0008433220042737
Chapter X Diseases of the respiratory system,Later onset COPD,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,0.78 [0.69-0.87],3.50347295430928e-05
Chapter X Diseases of the respiratory system,Later onset COPD,GPR15L,Protein GPR15L,Inverse variance weighted,13,0.86 [0.79-0.94],0.0009050063773968
