Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of liver,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Wald ratio,1,7.41 [3.02-18.18],1.24678952207775e-05
Chapter XI Diseases of the digestive system,Other diseases of liver,GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,16,1.36 [1.14-1.62],0.00075092894934
Chapter XI Diseases of the digestive system,Other diseases of liver,SDHB,Succinate dehydrogenase,Inverse variance weighted,10,2.13 [1.47-3.08],6.29118577019697e-05
