Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19543,1129,1.16 [1.03-1.30],0.0150834699036401
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Candidiasis,19759,290,1.26 [1.01-1.57],0.0430600428401589
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19175,2796,1.10 [1.02-1.19],0.0166797838048428
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19165,2817,1.13 [1.04-1.21],0.0019326223945509
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17947,880,1.15 [1.00-1.31],0.0420582714393886
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17308,963,1.16 [1.02-1.31],0.0230035829612173
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Mycoses,19831,362,1.37 [1.13-1.65],0.0013385171877976
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19770,969,1.16 [1.02-1.31],0.0225070115110874
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19646,845,1.15 [1.00-1.31],0.0492684896652135
TPM3,Tropomyosin alpha-3 chain,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18646,232,1.36 [1.07-1.72],0.0105700164184733
TPM3,Tropomyosin alpha-3 chain,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",15616,192,0.68 [0.48-0.96],0.0304679731664485
TPM3,Tropomyosin alpha-3 chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,19517,42,0.43 [0.19-0.94],0.034853821937614
TPM3,Tropomyosin alpha-3 chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19679,876,1.18 [1.03-1.34],0.0151314491434021
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,18175,157,1.65 [1.28-2.12],0.000120642038367
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,19818,218,1.35 [1.06-1.73],0.0162624097245298
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,14654,236,1.37 [1.09-1.71],0.0064480101034513
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,14696,278,1.43 [1.17-1.75],0.0005585855035064
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperosmolality and hypernatraemia,14531,113,1.88 [1.45-2.43],1.955888224172235e-06
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,19661,61,1.63 [1.07-2.48],0.0240233800552913
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,19728,1451,1.13 [1.02-1.25],0.0229041629623747
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",19724,1446,1.13 [1.02-1.25],0.0243018897000936
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",15729,1311,1.19 [1.07-1.32],0.0016368785410115
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,19856,195,1.37 [1.06-1.76],0.0149502390457419
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,17535,137,1.36 [1.01-1.84],0.0457858079454122
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with neurological complications,2105,101,1.49 [1.03-2.18],0.0365671305953729
TPM3,Tropomyosin alpha-3 chain,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,15037,619,1.23 [1.06-1.43],0.0072291808299157
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity artery,18702,65,1.74 [1.19-2.53],0.0038775064447616
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,11632,1869,1.12 [1.02-1.22],0.0137676050246037
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,AV-block,16066,498,1.27 [1.07-1.52],0.0073132930975133
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Cardiomyopathy,15733,165,1.48 [1.13-1.94],0.0044093280932032
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Conduction disorders,16679,1111,1.26 [1.12-1.42],8.587142160391815e-05
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,16814,6487,1.06 [1.01-1.11],0.025776970140719
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,"Heart failure, strict",19601,1081,1.23 [1.10-1.38],0.0004331503711316
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,"Hypertension, portal",19675,97,1.87 [1.39-2.52],3.33552197927463e-05
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",12321,164,1.40 [1.08-1.82],0.0114058803971597
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,12249,92,1.77 [1.33-2.35],9.81168111894922e-05
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Left bundle-branch block,15910,342,1.31 [1.07-1.62],0.0094785291232517
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",19821,316,1.25 [1.01-1.55],0.0370839510042973
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other arrhythmias,15971,403,1.23 [1.01-1.50],0.0354999583054164
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other arterial embolism and thrombosis,18744,107,1.57 [1.15-2.15],0.0050006959781959
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other disorders of veins,18698,72,1.98 [1.41-2.80],9.71848231588299e-05
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other noninfective disorders of lymphatic vessels and lymph nodes,18712,86,1.52 [1.03-2.23],0.0337721200311518
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,16586,1018,1.20 [1.06-1.35],0.0036348714824223
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,19093,456,1.22 [1.02-1.46],0.0320080428946355
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,10068,305,1.31 [1.06-1.61],0.0133495047686418
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Peripheral artery disease,19012,415,1.23 [1.02-1.48],0.0307891061837251
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Pulmonary embolism,19428,406,1.25 [1.04-1.51],0.0168570310034457
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Right bundle-branch block,15960,392,1.24 [1.02-1.51],0.0319452875431058
TPM3,Tropomyosin alpha-3 chain,Chapter IX Diseases of the circulatory system,Varicose veins,18939,313,1.35 [1.09-1.66],0.0050223531887839
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,18948,290,1.39 [1.13-1.71],0.0020068309176031
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Cerebral cysts,19534,195,1.32 [1.02-1.72],0.0359822811517604
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Diseases of the myoneural junction and muscle,19849,66,1.76 [1.21-2.57],0.0029788572583073
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Falls/tendency to fall,19406,1760,1.13 [1.02-1.24],0.0144433969698708
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",19465,807,1.28 [1.13-1.46],0.0001925103706115
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Neurological diseases,18761,2927,1.13 [1.05-1.22],0.0009471093888387
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,"Other and unspecified polyneuropathies, also in other diseases",19790,287,1.51 [1.23-1.84],5.724417878179985e-05
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Other neurological diseases,19767,428,1.26 [1.05-1.51],0.0141510555859097
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Small fibre neuropathy,19550,47,1.77 [1.13-2.80],0.0135293482713152
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,19847,157,1.46 [1.10-1.93],0.0083332592115237
TPM3,Tropomyosin alpha-3 chain,Chapter VI Diseases of the nervous system,Trigeminal neuralgia,18686,28,1.77 [1.00-3.13],0.0491004834048974
TPM3,Tropomyosin alpha-3 chain,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,19714,246,1.30 [1.03-1.64],0.0261706134228523
TPM3,Tropomyosin alpha-3 chain,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,2511,106,1.52 [1.05-2.20],0.0249634329941769
TPM3,Tropomyosin alpha-3 chain,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,19662,308,0.66 [0.51-0.87],0.0030343423832649
TPM3,Tropomyosin alpha-3 chain,Chapter VIII Diseases of the ear and mastoid process,Other disorders of ear,19780,764,1.18 [1.03-1.36],0.0197163417035944
TPM3,Tropomyosin alpha-3 chain,Chapter VIII Diseases of the ear and mastoid process,Other specified/unspecified hearing loss,19587,571,1.18 [1.00-1.39],0.049268305408574
TPM3,Tropomyosin alpha-3 chain,Chapter VIII Diseases of the ear and mastoid process,Tinnitus,19082,66,1.53 [1.00-2.32],0.0486373623450268
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,19072,295,1.28 [1.02-1.59],0.029688748849656
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,Influenza and pneumonia,19655,1719,1.12 [1.02-1.24],0.017262894496963
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,Interstitial lung disease,19092,315,1.31 [1.06-1.62],0.0122178815019125
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,19770,387,1.35 [1.12-1.62],0.0017460462054606
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",19443,1507,1.13 [1.02-1.25],0.0239512601973421
TPM3,Tropomyosin alpha-3 chain,Chapter X Diseases of the respiratory system,Pneumonitis due to solids and liquids,19762,238,1.32 [1.04-1.67],0.0246291280388035
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Alcoholic liver disease,19103,91,2.00 [1.49-2.68],4.543038529936025e-06
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",19693,115,1.61 [1.19-2.18],0.0019318391075594
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Coeliac disease,18489,72,1.52 [1.02-2.27],0.0406688001181778
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Dental caries,19327,184,1.48 [1.15-1.90],0.0022467218111846
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Diseases of liver,19748,736,1.20 [1.04-1.38],0.0119894490843808
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",19558,415,1.28 [1.07-1.54],0.007709925810603
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Diseases of the digestive system,19601,1184,1.15 [1.02-1.29],0.0196969831249098
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Embedded and impacted teeth,19804,35,1.84 [1.14-2.98],0.0126959551435936
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,19146,134,1.53 [1.14-2.04],0.0041631302944103
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,GI-bleeding,19395,978,1.15 [1.01-1.31],0.0289305648939728
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Impacted teeth,19807,34,1.87 [1.16-3.03],0.0103579187649976
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,19827,314,1.24 [1.00-1.54],0.046277579128907
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Other diseases of liver,19599,587,1.20 [1.02-1.41],0.0247686725017831
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Other diseases of the digestive system,19404,987,1.16 [1.02-1.31],0.0215357961850242
TPM3,Tropomyosin alpha-3 chain,Chapter XI Diseases of the digestive system,Palatinal maxillary canine,19795,43,1.73 [1.10-2.73],0.0187191534689307
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Actinic keratosis,19811,262,1.46 [1.17-1.81],0.0007618606925813
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Arthropathic psoriasis,19609,60,1.56 [1.01-2.42],0.0454754302085113
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,19785,382,1.23 [1.01-1.50],0.0366567877094804
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,18613,2597,1.17 [1.08-1.26],0.0001000009586265
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified local infections of skin and subcutaneous tissue,18786,162,1.45 [1.11-1.91],0.0065864182941219
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,19723,174,1.46 [1.13-1.90],0.0044159581591413
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Other disorders of skin and subcutaneous tissue,19481,1325,1.15 [1.04-1.29],0.009794226129155
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",18593,437,1.24 [1.03-1.49],0.0209772576109119
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,19790,241,1.46 [1.17-1.83],0.0008737330546389
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,19760,211,1.50 [1.18-1.89],0.000778882542386
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,19826,277,1.42 [1.14-1.76],0.0015548593764248
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,Skin changes due to chronic exposure to nonionizing radiation,19821,272,1.41 [1.13-1.75],0.0020436063898443
TPM3,Tropomyosin alpha-3 chain,Chapter XII Diseases of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",18361,205,1.31 [1.02-1.69],0.034544043258887
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,18116,3935,1.17 [1.10-1.25],5.633358987752567e-07
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,16955,2774,1.21 [1.12-1.30],6.966142308480807e-07
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,14903,722,1.17 [1.01-1.36],0.0379510145617437
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Coxarthrosis, primary",19760,125,0.65 [0.42-1.00],0.047915167713882
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies,17558,214,1.34 [1.05-1.72],0.0194469871468121
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,16902,5171,1.16 [1.10-1.23],1.5702922120585222e-07
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,19172,1828,1.19 [1.08-1.30],0.0001976084992642
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,15368,1187,1.28 [1.15-1.43],1.2109955047032353e-05
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,14973,792,1.36 [1.19-1.55],3.047920935571277e-06
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",19750,779,1.29 [1.13-1.47],0.0002216644526483
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,14697,516,1.22 [1.03-1.45],0.0219109540902136
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,14663,482,1.25 [1.05-1.49],0.0120953422290926
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,15723,1542,1.26 [1.14-1.38],4.101398549843015e-06
TPM3,Tropomyosin alpha-3 chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,14230,49,1.97 [1.35-2.88],0.0004793141878865
