Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter V Mental and behavioural disorders,Depression or dysthymia,Inverse variance weighted,12,1.18 [1.01-1.38],0.0393023339689275
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,12,0.76 [0.64-0.91],0.00230293125773
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,12,0.87 [0.78-0.98],0.0167741616068953
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,12,0.88 [0.77-1.00],0.042144340933661
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,12,0.87 [0.78-0.99],0.0284055687531543
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,12,1.30 [1.12-1.52],0.0007703993671882
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,12,1.25 [1.06-1.48],0.009496162681451
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",Inverse variance weighted,12,0.90 [0.83-0.98],0.0168289420071257
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Low back pain,Inverse variance weighted,12,1.13 [1.00-1.27],0.0472106911981469
VSIG4,V-set and immunoglobulin domain-containing protein 4,Chapter XIV Diseases of the genitourinary system,Urethral stricture,Inverse variance weighted,12,1.57 [1.00-2.46],0.048778630856879
