Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,14,0.87 [0.79-0.96],0.0073688816889489
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,Inverse variance weighted,14,0.79 [0.69-0.90],0.0003523612115679
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,Inverse variance weighted,14,0.59 [0.38-0.91],0.0181105621123685
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter IX Diseases of the circulatory system,Secondary right heart disease,Inverse variance weighted,14,0.62 [0.41-0.93],0.0204900400952662
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter X Diseases of the respiratory system,Interstitial lung disease,Inverse variance weighted,14,0.81 [0.68-0.98],0.0323129860396753
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,Inverse variance weighted,14,0.76 [0.59-0.99],0.0394667258870021
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,14,0.94 [0.90-0.99],0.0275058387928132
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,14,0.88 [0.79-0.98],0.017342628336695
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,14,0.95 [0.91-0.99],0.0251044006139863
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,Inverse variance weighted,14,0.95 [0.90-0.99],0.0304314386124606
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,Inverse variance weighted,14,0.91 [0.85-0.98],0.0083030437201453
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,Inverse variance weighted,14,0.85 [0.76-0.94],0.0024032434044888
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,Inverse variance weighted,14,0.77 [0.64-0.93],0.0059050391125282
CRIM1,Cysteine-rich motor neuron 1 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",Inverse variance weighted,14,0.86 [0.74-1.00],0.0447930680501379
