Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RBP5,Retinol-binding protein 5,38986,546,1.38 [1.22-1.57],3.3665963464136297e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,REG1A,Lithostathine-1-alpha,38887,542,1.46 [1.27-1.66],2.6883135107571613e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,REG1B,Lithostathine-1-beta,39602,551,1.36 [1.21-1.52],2.346221788947842e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,REG3A,Regenerating islet-derived protein 3-alpha,39602,551,1.31 [1.17-1.46],1.9419026471085773e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RELT,Tumor necrosis factor receptor superfamily member 19L,39137,541,1.98 [1.57-2.50],6.882301577666681e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,REN,Renin,39095,546,1.29 [1.19-1.40],2.135070281826097e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RETN,Resistin,39024,545,1.41 [1.20-1.65],3.323359057657953e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RNASE1,Ribonuclease pancreatic,34113,467,2.00 [1.54-2.60],2.746541776398408e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RNASE4,Ribonuclease 4,33003,451,1.98 [1.51-2.59],7.005480404868016e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RNASE6,Ribonuclease K6,33873,466,2.08 [1.75-2.48],1.3429154928512806e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RNASET2,Ribonuclease T2,39416,545,2.04 [1.58-2.64],5.6844156890148763e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RNF149,E3 ubiquitin-protein ligase RNF149,33198,452,2.08 [1.59-2.71],6.679102920585094e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ROBO1,Roundabout homolog 1,39149,547,1.53 [1.13-2.07],0.0054776208068635
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,RTBDN,Retbindin,38986,546,1.67 [1.35-2.06],2.605180537455091e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCARA5,Scavenger receptor class A member 5,39470,550,1.46 [1.14-1.86],0.0025272581323836
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCARB2,Lysosome membrane protein 2,38125,524,1.88 [1.53-2.32],3.616141602289554e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCARF2,Scavenger receptor class F member 2,39470,550,1.73 [1.34-2.23],2.6142720005354896e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCG2,Secretogranin-2,39288,549,1.61 [1.29-2.02],2.542036976771993e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCG3,Secretogranin-3,39149,547,2.29 [1.83-2.87],5.152493306659084e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCGB3A2,Secretoglobin family 3A member 2,39216,547,1.15 [1.07-1.24],0.0002711140974306
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCGN,Secretagogin,38400,534,1.30 [1.10-1.54],0.0019240163002729
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCLY,Selenocysteine lyase,39346,550,1.30 [1.11-1.51],0.0007968445475793
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SCT,Secretin,33156,461,0.45 [0.37-0.56],4.1186964381772425e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SDC1,Syndecan-1,39095,546,1.47 [1.24-1.75],1.1237721521139316e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SDC4,Syndecan-4,39095,546,0.80 [0.68-0.94],0.0060463877811933
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SEL1L,Protein sel-1 homolog 1,33198,452,1.43 [1.16-1.76],0.0007849839816699
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SELE,E-selectin,39602,551,1.28 [1.10-1.49],0.0011356795678303
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SELENOP,Selenoprotein P,34130,470,0.53 [0.35-0.79],0.0017164908392091
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SEMA3F,Semaphorin-3F,39095,546,1.59 [1.20-2.10],0.0012605852148574
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SEMA3G,Semaphorin-3G,33352,463,1.57 [1.31-1.88],1.3575185573023116e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SEPTIN8,Septin-8,33955,470,1.52 [1.20-1.93],0.0005379289233101
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SERPINA11,Serpin A11,39602,551,1.35 [1.12-1.62],0.0015912974032681
