Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,SMOC1,SPARC-related modular calcium-binding protein 1,36805,841,1.38 [1.15-1.66],0.000645140247642
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,SMOC2,SPARC-related modular calcium-binding protein 2,36634,834,1.27 [1.08-1.48],0.0035437404725577
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,SNAPIN,SNARE-associated protein Snapin,31695,727,1.22 [1.08-1.37],0.0013791407003736
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,SPP1,Osteopontin,36861,842,1.30 [1.13-1.48],0.0001842528195776
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,STC2,Stanniocalcin-2,36423,836,0.67 [0.53-0.85],0.0008198660495011
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,SUMF1,Formylglycine-generating enzyme,30803,697,1.16 [1.06-1.27],0.0016264954617164
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TCN1,Transcobalamin-1,31118,719,0.69 [0.55-0.86],0.0011556667046141
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TFF1,Trefoil factor 1,36279,834,1.13 [1.05-1.22],0.0015734292625854
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,THBD,Thrombomodulin,36471,832,1.47 [1.19-1.82],0.0003251260826578
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TMPRSS11D,Transmembrane protease serine 11D,31619,730,0.74 [0.61-0.90],0.0027785791797415
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TMPRSS15,Enteropeptidase,36311,832,1.11 [1.04-1.19],0.0029079854340407
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,36594,835,1.39 [1.17-1.64],0.0001482148074343
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,36513,833,1.39 [1.14-1.70],0.0012932048910062
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,36214,828,1.30 [1.13-1.50],0.0003216012060232
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,TREM2,Triggering receptor expressed on myeloid cells 2,36451,832,1.18 [1.05-1.33],0.0046545470127541
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,36311,832,1.69 [1.24-2.29],0.0008901210102226
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,VSIG2,V-set and immunoglobulin domain-containing protein 2,31606,724,1.24 [1.11-1.39],0.0001954624315252
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1",36091,824,0.81 [0.69-0.94],0.0061872475509251
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,WNT9A,Protein Wnt-9a,35824,825,1.32 [1.07-1.63],0.008377876406828
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,XG,Glycoprotein Xg,36732,837,1.31 [1.08-1.59],0.006034957189666
