Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
BLVRB,Flavin reductase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,23233,76,1.76 [1.36-2.26],1.2915106995860936e-05
BLVRB,Flavin reductase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,20247,3356,0.92 [0.88-0.96],0.0005479712171653
BLVRB,Flavin reductase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,18765,1874,0.89 [0.84-0.95],0.0004516000511516
BLVRB,Flavin reductase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,20689,279,0.74 [0.63-0.88],0.0005702025526723
