Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,A1BG,Alpha-1B-glycoprotein,19199,383,0.42 [0.25-0.71],0.0011370897297037
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACAN,Aggrecan core protein,21920,437,2.23 [1.66-2.99],9.913667944198193e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACE2,Angiotensin-converting enzyme 2,21717,430,1.52 [1.32-1.74],3.3973226533559636e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACHE,Acetylcholinesterase,18743,372,1.53 [1.17-2.01],0.0018238095265959
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACRV1,Acrosomal protein SP-10,18618,366,1.27 [1.18-1.38],2.2899126893105315e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACY1,Aminoacylase-1,22122,440,1.22 [1.08-1.38],0.0016253703542255
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADA,Adenosine deaminase,22374,445,1.77 [1.44-2.18],6.875398225001725e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,22374,445,1.56 [1.21-2.02],0.0006484819503824
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,22185,439,1.29 [1.07-1.56],0.0074372258601745
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADGRD1,Adhesion G-protein coupled receptor D1,18743,372,1.50 [1.19-1.88],0.000449082906202
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADIPOQ,Adiponectin,19199,383,0.79 [0.70-0.90],0.0003089884142366
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADM,Pro-adrenomedullin,22330,443,0.52 [0.38-0.71],4.629478875023105e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AGR3,Anterior gradient protein 3,21571,426,1.22 [1.06-1.40],0.0044877936838865
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AHNAK2,Protein AHNAK2,18651,370,1.53 [1.12-2.10],0.0084475796981936
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AMOT,Angiomotin,18743,372,0.72 [0.57-0.91],0.0062693551994468
