Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,1.14 [1.05-1.24],0.0023390106641312
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,MMP12,Macrophage metalloelastase,Inverse variance weighted,21,0.95 [0.92-0.98],0.0007371880238167
