Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter II Neoplasms,Lymphoid leukaemia,LY9,T-lymphocyte surface antigen Ly-9,Inverse variance weighted,36,1.28 [1.11-1.49],0.0007189521365253
Chapter II Neoplasms,Lymphoid leukaemia,CWC15,Spliceosome-associated protein CWC15 homolog,Wald ratio,1,7.52 [2.05-27.57],0.0023346601509267
