Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,GOLM2,Protein GOLM2,Inverse variance weighted,14,0.89 [0.83-0.96],0.0021153563481556
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,PSAP,Prosaposin,Inverse variance weighted,13,0.90 [0.84-0.97],0.0028839301992902
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,ADM,Pro-adrenomedullin,Inverse variance weighted,4,1.17 [1.06-1.29],0.0025828767891398
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,AMN,Protein amnionless,Inverse variance weighted,45,0.97 [0.94-0.99],0.0060545936354556
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.38 [1.11-1.71],0.0037205265608844
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.07 [1.02-1.13],0.008914019425406
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,1.12 [1.05-1.19],0.0002263997532581
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,NUCB2,Nucleobindin-2,Inverse variance weighted,28,1.09 [1.03-1.15],0.0013364638300881
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,LGALS3,Galectin-3,Inverse variance weighted,42,1.06 [1.02-1.10],0.0052291946871556
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.75 [0.66-0.85],1.07295929909747e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,0.87 [0.79-0.97],0.0085012027797436
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,LRRC25,Leucine-rich repeat-containing protein 25,Inverse variance weighted,32,0.95 [0.91-0.99],0.0068892433831004
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,0.88 [0.80-0.96],0.0037556653794282
