Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EDA2R,Tumor necrosis factor receptor superfamily member 27,26742,774,1.85 [1.57-2.17],1.019300304147516e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EFNA1,Ephrin-A1,26478,770,2.00 [1.60-2.48],5.623116282397033e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EFNA4,Ephrin-A4,26294,761,2.34 [1.93-2.84],5.1394669045070256e-18
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EGFR,Epidermal growth factor receptor,26850,776,0.29 [0.19-0.42],1.9194182824347928e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EPHA2,Ephrin type-A receptor 2,25577,743,2.30 [1.92-2.76],2.2490239165594083e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EPHB4,Ephrin type-B receptor 4,26850,776,2.18 [1.73-2.74],3.789710259352744e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,EPHB6,Ephrin type-B receptor 6,26286,759,1.90 [1.55-2.33],6.211445333799058e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,23129,676,1.39 [1.26-1.53],3.6971472699640515e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,FGFR2,Fibroblast growth factor receptor 2,26615,772,2.90 [2.21-3.82],2.959194348148405e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,FSTL3,Follistatin-related protein 3,26471,773,2.00 [1.66-2.41],2.1989319061213882e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,GAST,Gastrin,23073,669,1.18 [1.13-1.24],1.1899027765762314e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,GDF15,Growth/differentiation factor 15,26850,776,1.72 [1.54-1.91],2.4017084282240786e-23
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,GFRA1,GDNF family receptor alpha-1,26695,772,2.58 [2.09-3.19],9.288014794985632e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,HAVCR2,Hepatitis A virus cellular receptor 2,26515,770,2.10 [1.77-2.50],3.2844698267901937e-17
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,HGF,Hepatocyte growth factor,26796,771,1.76 [1.48-2.10],1.6099973861202362e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",26477,768,2.23 [1.83-2.71],1.0649370547658813e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IGFBP4,Insulin-like growth factor-binding protein 4,26158,758,1.70 [1.49-1.95],9.366485000959117e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL10RB,Interleukin-10 receptor subunit beta,26645,776,2.10 [1.73-2.56],1.3662439435129688e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL12A_IL12B,Interleukin-12,26406,770,1.29 [1.19-1.39],1.9602174484183643e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL18BP,Interleukin-18-binding protein,26616,776,1.96 [1.62-2.37],3.345564553267251e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL18R1,Interleukin-18 receptor 1,26796,771,2.13 [1.78-2.57],5.962450741356647e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL1RN,Interleukin-1 receptor antagonist protein,26476,775,1.43 [1.30-1.58],3.606258663639974e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL2RA,Interleukin-2 receptor subunit alpha,26324,762,1.90 [1.64-2.19],9.661561685309946e-18
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL4R,Interleukin-4 receptor subunit alpha,26477,768,1.83 [1.56-2.14],6.419360633205961e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,IL6,Interleukin-6,26406,770,1.28 [1.19-1.37],1.938717738208976e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,KRT18,"Keratin, type I cytoskeletal 18",26406,770,1.27 [1.18-1.36],4.3727538710202975e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,KRT19,"Keratin, type I cytoskeletal 19",26438,768,1.32 [1.22-1.44],1.4774777331667822e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,26516,773,1.56 [1.35-1.79],8.454924806126986e-10
