Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",AGR2,Anterior gradient protein 2 homolog,24836,184,1.56 [1.38-1.78],7.874605210395864e-12
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",CD302,CD302 antigen,25574,194,3.78 [2.61-5.45],1.4152465094848058e-12
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",CKAP4,Cytoskeleton-associated protein 4,25812,196,4.00 [2.71-5.91],3.4934435287245844e-12
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",COL18A1,Collagen alpha-1(XVIII) chain,25770,198,5.79 [3.40-9.87],1.0396624988471152e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",COL6A3,Collagen alpha-3(VI) chain,25984,199,3.13 [2.29-4.29],9.753241309808503e-13
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",CST3,Cystatin-C,25720,193,3.63 [2.45-5.38],1.2323233642663908e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",EFNA1,Ephrin-A1,25640,197,4.36 [2.91-6.52],8.62349569610344e-13
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",EFNA4,Ephrin-A4,25467,192,3.17 [2.20-4.56],5.331873989036363e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",FABP1,"Fatty acid-binding protein, liver",25680,195,1.54 [1.35-1.75],1.4995277688741656e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",GDF15,Growth/differentiation factor 15,25984,199,2.01 [1.66-2.42],3.2323668228600974e-13
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",IGFBP4,Insulin-like growth factor-binding protein 4,25336,192,2.63 [2.07-3.36],5.148800137241521e-15
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",ITGA11,Integrin alpha-11,25633,194,0.27 [0.18-0.39],3.1889906704418476e-11
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",KRT19,"Keratin, type I cytoskeletal 19",25593,194,1.77 [1.50-2.09],1.7852372920951675e-11
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",LCN2,Neutrophil gelatinase-associated lipocalin,24897,185,2.71 [2.04-3.59],5.5392020352162654e-12
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",LGALS4,Galectin-4,25680,195,2.39 [1.92-2.97],7.974018927241082e-15
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",NPDC1,Neural proliferation differentiation and control protein 1,25677,196,2.91 [2.08-4.07],4.706019845442918e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",RNASE4,Ribonuclease 4,21675,158,4.35 [2.86-6.61],6.293429212945289e-12
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",RNASE6,Ribonuclease K6,22265,161,2.84 [2.10-3.84],1.5396629673268698e-11
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",SHISA5,Protein shisa-5,22414,161,3.78 [2.52-5.67],1.3452796998503109e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,25765,196,2.83 [2.04-3.93],5.405218330655185e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,25679,197,3.37 [2.30-4.93],3.708658957553233e-10
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",VSIG4,V-set and immunoglobulin domain-containing protein 4,25643,196,2.54 [1.92-3.37],6.467296219806616e-11
"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",WFDC2,WAP four-disulfide core domain protein 2,24355,187,2.78 [2.13-3.62],3.8968990155396765e-14
