Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SLC39A5,Zinc transporter ZIP5,18351,3789,1.14 [1.08-1.20],5.289941580076684e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SMPD1,Sphingomyelin phosphodiesterase,18468,3806,1.13 [1.06-1.19],5.087860600776788e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SNCG,Gamma-synuclein,18243,3772,1.09 [1.04-1.14],0.000150443663436
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SNRPB2,U2 small nuclear ribonucleoprotein B'',16089,3266,1.12 [1.05-1.19],0.0006969795020475
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SORCS2,VPS10 domain-containing receptor SorCS2,17984,3696,1.26 [1.17-1.37],9.698221988294861e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SPINK1,Serine protease inhibitor Kazal-type 1,18427,3808,1.28 [1.20-1.37],1.566718550556045e-14
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SPINK4,Serine protease inhibitor Kazal-type 4,18351,3789,1.16 [1.11-1.21],1.5596897577545998e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SPON2,Spondin-2,18321,3769,1.28 [1.18-1.39],7.510013148228608e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",18641,3838,1.24 [1.13-1.36],6.031337071945097e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,STAB2,Stabilin-2,16133,3284,1.24 [1.10-1.40],0.000353876898595
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,SULT2A1,Bile salt sulfotransferase,18351,3789,1.09 [1.03-1.14],0.0009486792099437
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TAFA5,Chemokine-like protein TAFA-5,18302,3767,1.23 [1.14-1.33],8.794763774952138e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TCTN3,Tectonic-3,16137,3288,1.21 [1.08-1.36],0.0007854022743234
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TF,Serotransferrin,16158,3284,1.34 [1.15-1.57],0.0002126690109498
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TFF1,Trefoil factor 1,18332,3789,1.13 [1.09-1.17],2.463022686671345e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TFF2,Trefoil factor 2,18453,3795,1.19 [1.13-1.25],5.674236024251085e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TFF3,Trefoil factor 3,18419,3792,1.27 [1.20-1.35],4.766027173219477e-15
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TFRC,Transferrin receptor protein 1,18516,3816,1.17 [1.09-1.27],3.762957088462586e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TGFA,Protransforming growth factor alpha,18351,3789,1.24 [1.17-1.32],2.449027165417403e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TGFBR2,TGF-beta receptor type-2,18480,3807,1.26 [1.16-1.37],4.0379528993590846e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,THBS4,Thrombospondin-4,18450,3797,0.89 [0.83-0.95],0.0003124584504038
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TIMP1,Metalloproteinase inhibitor 1,18249,3756,1.22 [1.10-1.35],0.000147379269052
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNF,Tumor necrosis factor,18062,3725,1.19 [1.12-1.28],2.1067524344414017e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,18243,3772,1.40 [1.30-1.51],2.3144131014844367e-17
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,18243,3772,1.22 [1.16-1.29],2.3905696848495102e-14
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,18580,3817,1.27 [1.19-1.37],2.3391316453487563e-11
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,18480,3807,1.29 [1.19-1.39],5.278589184906327e-10
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,18425,3789,1.25 [1.14-1.37],3.68120405635796e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,18427,3808,1.44 [1.31-1.57],2.276333146570939e-15
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,18427,3808,1.25 [1.17-1.34],2.0102711131786527e-11
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,18552,3808,1.18 [1.10-1.28],6.483957148819882e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,18243,3772,1.20 [1.14-1.26],3.235774642878838e-13
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,18243,3772,1.17 [1.09-1.25],3.3152229843782582e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFSF12,Tumor necrosis factor ligand superfamily member 12,18580,3817,0.77 [0.69-0.85],4.361049979406501e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,18618,3836,1.28 [1.16-1.42],1.0477071524685204e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TNR,Tenascin-R,18243,3772,0.89 [0.83-0.95],0.0006647006141279
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TREM2,Triggering receptor expressed on myeloid cells 2,18397,3785,1.18 [1.12-1.25],1.763627704998264e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TSHB,Thyrotropin subunit beta,18408,3789,0.94 [0.90-0.97],0.0002716039015979
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",15640,3181,1.12 [1.06-1.19],2.5838218464711608e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ULBP2,UL16-binding protein 2,18243,3772,1.17 [1.09-1.26],4.033890362051441e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,UMOD,Uromodulin,18594,3827,0.86 [0.81-0.90],4.346256416631884e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,VGF,Neurosecretory protein VGF,16090,3273,1.21 [1.09-1.35],0.0004832599130968
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,VSIG2,V-set and immunoglobulin domain-containing protein 2,16047,3269,1.26 [1.20-1.32],8.265531915595337e-20
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,VSIG4,V-set and immunoglobulin domain-containing protein 4,18402,3800,1.35 [1.26-1.44],4.467324219443628e-18
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,VWC2,Brorin,18182,3760,1.18 [1.10-1.27],8.630928493125125e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,WFDC12,WAP four-disulfide core domain protein 12,18526,3806,1.08 [1.04-1.13],0.0004347489369714
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,WFDC2,WAP four-disulfide core domain protein 2,17510,3604,1.38 [1.29-1.48],3.6262534062274583e-20
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",18425,3789,0.84 [0.77-0.92],6.231583041737953e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,YAP1,Transcriptional coactivator YAP1,16089,3266,1.36 [1.21-1.53],5.461693601611495e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ZBTB17,Zinc finger and BTB domain-containing protein 17,18082,3730,1.14 [1.08-1.22],2.1532053253541408e-05
