Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,22339,60,1.64 [1.19-2.26],0.0025913697097485
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ADA2,Adenosine deaminase 2,22229,56,1.75 [1.06-2.89],0.0288878614779163
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,19343,47,2.63 [1.22-5.65],0.0131576777645977
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,22612,60,0.35 [0.15-0.86],0.0211566500468878
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ADGRG1,Adhesion G-protein coupled receptor G1,22227,58,1.33 [1.04-1.70],0.0229702790793543
Chapter XI Diseases of the digestive system,Diseases of salivary glands,AHNAK2,Protein AHNAK2,18948,47,2.32 [1.18-4.56],0.0145734877511193
Chapter XI Diseases of the digestive system,Diseases of salivary glands,APOH,Beta-2-glycoprotein 1,22357,58,1.99 [1.18-3.34],0.0093210169345717
Chapter XI Diseases of the digestive system,Diseases of salivary glands,APOM,Apolipoprotein M,22410,58,0.42 [0.19-0.93],0.0331663420192792
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ASAH1,Acid ceramidase,19251,47,1.73 [1.23-2.42],0.001455689053742
Chapter XI Diseases of the digestive system,Diseases of salivary glands,ASPN,Asporin,19437,47,2.35 [1.48-3.72],0.00028163303344
Chapter XI Diseases of the digestive system,Diseases of salivary glands,BRME1,Break repair meiotic recombinase recruitment factor 1,18797,43,1.53 [1.03-2.27],0.0365067735734241
Chapter XI Diseases of the digestive system,Diseases of salivary glands,BTN3A2,Butyrophilin subfamily 3 member A2,22283,59,1.95 [1.27-3.00],0.0022749190136039
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CA12,Carbonic anhydrase 12,22227,58,2.13 [1.11-4.07],0.0228498181039197
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CA4,Carbonic anhydrase 4,22612,60,0.35 [0.14-0.89],0.0266813276873503
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CA7,Carbonic anhydrase 7,19083,45,1.78 [1.05-3.04],0.0331771442884312
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CA9,Carbonic anhydrase 9,22513,59,0.56 [0.33-0.93],0.024051991453996
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CADPS,Calcium-dependent secretion activator 1,18914,44,1.56 [1.03-2.38],0.0360367065278578
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CALB1,Calbindin,22227,58,1.75 [1.05-2.91],0.0316009388649478
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CBS,Cystathionine beta-synthase,18948,47,0.48 [0.24-0.96],0.0370866736491453
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,18948,47,1.82 [1.28-2.59],0.0008755466897082
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CCN3,CCN family member 3,22574,60,1.85 [1.02-3.36],0.0418555079612799
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CD22,B-cell receptor CD22,22552,60,1.75 [1.11-2.77],0.0156420766338739
Chapter XI Diseases of the digestive system,Diseases of salivary glands,CD36,Platelet glycoprotein 4,18862,47,1.87 [1.06-3.30],0.030071394316514
